id,situacao,loja,pedido,valor do pedido,cidade,logistica,data,entrada,vendedor,tranferencia,faturamento,data/hora faturamento,unnamed: 13,responsavel,saida,entregue data,entregue hora,pedidos para entregar: 696,pgt entrega?,observação,veículo,recolheu,hora recolhida,valor_numerico
3260,NORMAL,NLC,8507049,"R$ 516,01",NOVO ORIENTE,ENTREGUE,2026-03-08,12:21:00,GEISI,Transferido,Faturado,03/08/2026 12:22:39,,,,,,,,,,,,516.01
3265,NORMAL,NLC,8507062,"R$ 49,99",ROSARIO,ENTREGUE,2026-03-08,17:09:00,GEISI,Transferido,Faturado,03/08/2026 17:09:34,,,,,,,,,,,,49.99
3266,NORMAL,NLC,8507059,"R$ 1.105,20",SUCESSO,ENTREGUE,2026-03-08,17:15:00,GEISI,Transferido,Faturado,04/08/2026 07:25:00,,JULIO,,17/08/26,10:55,,,,KIA BONGO,,,1105.2
3268,URGENTE,HC,12608428,"R$ 50,00",SAO GONCALO,ENTREGUE,2026-04-08,08:13:00,LEONARDO,Transferido,Faturado,04/08/2026 08:13:54,,,,,,,,,,,,50.0
3273,CARRO HORARIO,HC,12608347,"R$ 595,82",LAGOA DAS PEDRAS,ENTREGUE,2026-04-08,08:57:00,MASCILON,Transferido,Faturado,04/08/2026 08:57:47,,,,04/08/26,12:12,,,,,,,595.82
3279,NORMAL,HC,12608454,"R$ 927,99",INDEPENDENCIA,ENTREGUE,2026-04-08,10:20:00,CAMILA,Transferido,Faturado,04/08/2026 10:20:14,,VICTOR,,20/08/26,12:32,,,,(N) ACELLO 815 156 CV,,,927.99
3283,NORMAL,HC,12608467,"R$ 886,88",NOVO ORIENTE,ENTREGUE,2026-04-08,12:46:00,MASCILON,Transferido,Faturado,04/08/2026 12:46:49,,,,,,,,,,,,886.88
3293,NORMAL,NLC,8507028,"R$ 3.112,00",NOVA RUSSAS,ENTREGUE,2026-04-08,15:25:00,GEISI,Transferido,Faturado,04/08/2026 15:25:27,,,,05/08/26,11:51,,,,,,,3112.0
3295,NORMAL,NLC,8507076,"R$ 8.080,00",REALEJO,ENTREGUE,2026-04-08,16:10:00,GEISI,Transferido,Faturado,04/08/2026 17:28:27,,VICTOR,,13/08/26,09:31,,,,(N) ACELLO 815 156 CV,,,8080.0
3299,NORMAL,HC,12608512,"R$ 715,00",BURITI DOS MONTES,ENTREGUE,2026-04-08,17:25:00,CAMILA,Transferido,Faturado,04/08/2026 17:26:06,,VICTOR,,25/08/26,10:28,,,,(N) ACELLO 815 156 CV,,,715.0
